Salpinctes obsoletus
Protonotaria citrea
Tyrannus verticalis
Hylocichla mustelina
Dryobates scalaris
Dendroica virens
Mycteria americana
Somateria mollissima
Vireo cassinii
Sphyrapicus ruber
Bombycilla cedrorum
Myiarchus tyrannulus
Setophaga ruticilla
Egretta thula
Sphyrapicus nuchalis
Wilsonia citrina
Dryobates nuttallii
Columba livia
Pheucticus ludovicianus
Oporornis philadelphia
Dendroica striata
Dendroica magnolia
Psaltriparus minimus
Plectrophenax nivalis
Oporornis formosus
Aegithalos caudatus
Cuculus canorus
Phylloscopus trochilus
Picus viridis
Turdus viscivorus
Catharacta skua
Limosa fedoa
Zonotrichia atricapilla
Empidonax virescens
Vermivora peregrina
Ammodramus bairdii
Selasphorus rufus
Colaptes auratus
Phainopepla nitens
Sitta pusilla
Arremonops rufivirgatus
Icterus parisorum
Carduelis pinus
Gelochelidon nilotica
Antrostomus carolinensis
Larus marinus
Carduelis psaltria
Vermivora virginiae
Larus californicus
Calcarius ornatus
Geothlypis trichas
Carduelis lawrencei
Empidonax difficilis
Passerina caerulea
Gallinago delicata
Pelecanus occidentalis
Selasphorus sasin
Bubo bubo
Emberiza schoeniclus
Parus montanus
Certhia familiaris
Fringilla coelebs
Prunella modularis
Dendroica nigrescens
Melozone fuscus
Piranga rubra
Dendroica discolor
Egretta caerulea
Melanitta deglandi
Petrochelidon pyrrhonota
Thalasseus maximus
Brachyramphus marmoratus
Larus argentatus
Parus gambeli
Tachycineta bicolor
Empidonax hammondii
Lagopus lagopus
Ducula spilorrhoa
Carduelis tristis
Phylloscopus collybita
Passer domesticus
Dendroica coronata
Regulus calendula
Catharus guttatus
Gallinago gallinago
Aeronautes saxatalis
Catharus ustulatus
Vireo plumbeus
Empidonax minimus
Corvus ossifragus
Colinus virginianus
Thryomanes bewickii
Tyrannus vociferans
Sterna dougallii
Aphelocoma californica
Parus ater
Anthus spragueii
Selasphorus platycercus
Dendroica townsendi
Empidonax oberholseri
Vireo griseus
Tachycineta thalassina
Luscinia svecica
Dendroica petechia
Empidonax alnorum
Zonotrichia albicollis
Riparia riparia
Myiarchus cinerascens
Passerculus sandwichensis
Tetrao urogallus
Garrulus glandarius
Larus canus
Dendroica graciae
Spizella passerina
Parus carolinensis
Parus rufescens
Dendroica occidentalis
Melanerpes aurifrons
Agelaius phoeniceus
Oporornis tolmiei
Turdus migratorius
Hirundo rustica
Eudromias morinellus
Vanellus vanellus
Turdus merula
Quiscalus quiscula
Vireo olivaceus
Vermivora luciae
Rissa tridactyla
Ficedula albicollis
Anas fulvigula
Cardinalis sinuatus
Macronectes giganteus
Corvus brachyrhynchos
Melozone crissalis
Larus pipixcan
Xanthocephalus xanthocephalus
Junco hyemalis
Auriparus flaviceps
Fratercula arctica
Melanerpes uropygialis
Parus caeruleus
Pelecanus crispus
Carduelis flammea
Melanerpes formicivorus
Rynchops niger
Ciconia ciconia
Columba oenas
Corvus monedula
Tringa nebularia
Columba palumbus
Calamospiza melanocorys
Uria aalge
Cygnus columbianus
Baeolophus inornatus
Phalacrocorax pelagicus
Cypseloides niger
Buteo buteo
Pica nuttalli
Calidris temminckii
Polysticta stelleri
Larus glaucescens
Eudocimus albus
Milvus milvus
Oenanthe oenanthe
Rhynchophanes mccownii
Dendrocygna bicolor
Turdus iliacus
Catharacta maccormicki
Dendrocopos major
Sternula antillarum
Gymnorhinus cyanocephalus
Corvus caurinus
Erithacus rubecula
Acrocephalus sechellensis
Fringilla montifringilla
Sitta europaea
Fulmarus glacialoides
Anthus pratensis
Diomedea exulans
Larus occidentalis
Grus americana
Carpodacus erythrinus
Aythya fuligula
Botaurus stellaris
Larus atricilla
Motacilla alba
Alectoris rufa
Aythya ferina
Netta rufina
Anser fabalis
Carduelis carduelis
Thalassarche bulleri
Parus major
Aythya marila
Corvus frugilegus
Pluvialis apricaria
Falco subbuteo
Aptenodytes patagonicus
Ardeola ralloides
Fulica atra
Lyrurus tetrix
Falco tinnunculus
Phylloscopus sibilatrix
Strix aluco
Alauda arvensis
Phalacrocorax aristotelis
Luscinia luscinia
Turdus philomelos
Pyrrhula pyrrhula
Hippolais icterina
Parus palustris
Aegolius funereus
Carduelis cannabina
Tadorna ferruginea
Alca torda
Burhinus oedicnemus
Emberiza cirlus
Branta bernicla
Sternula albifrons
Streptopelia turtur
Delichon urbicum
Microcarbo pygmaeus
Anthus trivialis
Larus cachinnans
Plegadis chihi
Anser brachyrhynchus
Fulmarus glacialis
Recurvirostra avosetta
Miliaria calandra
Emberiza citrinella
Lanius collurio
Otis tarda
Podiceps cristatus
Branta ruficollis
Sylvia curruca
Sylvia communis
Uria lomvia
Spheniscus mendiculus
Sterna paradisaea
Egretta garzetta
Pygoscelis adeliae
Clangula hyemalis
Phoenicurus phoenicurus
Anser albifrons
Anser caerulescens
Motacilla flava
Acrocephalus scirpaceus
Branta leucopsis
Aptenodytes forsteri
Ficedula hypoleuca
Larus ridibundus
Calidris minuta
Limosa haemastica
Streptopelia decaocto
Spiza americana
Petrochelidon fulva
Limnothlypis swainsonii
Phalaenoptilus nuttallii
Elanus leucurus
Caracara cheriway
Catherpes mexicanus
Toxostoma crissale
Ammodramus maritimus
Sayornis nigricans
Geococcyx californianus
Columbina inca
Empidonax wrightii
Coragyps atratus
Charadrius montanus
Toxostoma lecontei
Peucaea aestivalis
Toxostoma bendirei
Calypte costae
Vireo bellii
Aimophila ruficeps
Chordeiles acutipennis
Tympanuchus cupido
Toxostoma redivivum
Toxostoma curvirostre
Columbina passerina
Oreortyx pictus
Polioptila melanura
Molothrus aeneus
Spizella atrogularis
Centrocercus urophasianus
Pipilo chlorurus
Corvus cryptoleucus
Chamaea fasciata
Callipepla squamata
Passerina ciris
Campylorhynchus brunneicapillus
Callipepla gambelii
Tyrannus forficatus
Quiscalus mexicanus
Zenaida asiatica
Oreoscoptes montanus
Amphispiza belli
Agelaius tricolor
Amphispiza bilineata
Quiscalus major
Atrichornis clamosus
Peucaea cassinii
Branta sandvicensis
Telespiza cantans
Pelecanus rufescens
Limosa lapponica
Dendroica kirtlandii
Spatula querquedula
Lullula arborea
Mergellus albellus
Ardea cinerea
Tringa totanus
Limosa limosa
Eudyptes moseleyi
Buteo lagopus
Falco rusticolus
Arenaria interpres
Calidris alba
Calidris alpina
Calidris canutus
Charadrius hiaticula
Pluvialis squatarola
Numenius arquata
Tringa brevipes
Calidris ruficollis
Catharus minimus
Cepphus columba
Antigone vipio
Tadorna tadorna
Pygoscelis papua
Falco punctatus
Psittacula eques
Himantopus novaezelandiae
Phoenicopterus ruber
Amazona vittata
Fratercula cirrhata
Cinclus cinclus
Charadrius alexandrinus
Tringa ochropus
Oriolus oriolus
Grus monacha
Tringa erythropus
Ardea purpurea
Aegypius monachus
Gyps fulvus
Alectoris chukar
Aquila adalberti
Tadorna tadornoides
Calidris ferruginea
Numenius madagascariensis
Larus novaehollandiae
Larus pacificus
Pelecanus conspicillatus
Microcarbo melanoleucos
Aerodramus maximus
Anthus rubescens
Phalaropus lobatus
Calidris minutilla
Rissa brevirostris
Cerorhinca monocerata
Haematopus ater
Phalacrocorax urile
Actitis hypoleucos
Calidris pugnax
Tringa glareola
Melanitta nigra
Asio otus
Cygnus cygnus
Tachybaptus ruficollis
Pluvialis fulva
Pagophila eburnea
Alle alle
Apus apus
Carduelis chloris
Carduelis spinus
Nucifraga caryocatactes
Parus cristatus
Regulus regulus
Saxicola rubetra
Turdus pilaris
Jynx torquilla
Dryocopus martius
Ficedula parva
Coccothraustes coccothraustes
Leiopicus medius
Milvus migrans
Leptoptilos crumenifer
Malurus splendens
Copsychus sechellarum
Larus audouinii
Numenius phaeopus
Agelaius xanthomus
Anas wyvilliana
Ixobrychus sinensis
Todiramphus cinnamominus
Fulica alai
Lonchura atricapilla
Ptilinopus roseicapilla
Alopecoenas xanthonurus
Hypotaenidia owstoni
Corvus kubaryi
Rhipidura rufifrons
Myzomela rubratra
Aplonis opaca
Haliaeetus pelagicus
Anthus petrosus
Motacilla cinerea
Thalassarche chrysostoma
Thalassarche melanophris
Anous stolidus
Gygis alba
Streptopelia bitorquata
Dicrurus macrocercus
Pygoscelis antarcticus
Aquila audax
Aviceda subcristata
Climacteris picumnus
Petroica phoenicea
Pomatostomus temporalis
Melithreptus lunatus
Chasiempis sandwichensis
Myadestes obscurus
Hemignathus virens
Vestiaria coccinea
Himatione sanguinea
Hemignathus munroi
Oreomystis mana
Loxops coccineus
Strix uralensis
Surnia ulula
Geronticus eremita
Chlidonias hybrida
Leiothrix lutea
Zosterops japonicus
Acanthiza uropygialis
Oreoica gutturalis
Melanodryas cucullata
Pachycephala rufiventris
Gerygone fusca
Cacatua galerita
Manorina melanocephala
Strepera graculina
Anthochaera carunculata
Larus dominicanus
Spheniscus demersus
Geospiza conirostris
Gypaetus barbatus
Crex crex
Eudyptula minor
Eudyptes chrysolophus
Phalaropus fulicarius
Morus capensis
Phalacrocorax capensis
Neophema chrysogaster
Anser canagicus
Glareola pratincola
Phoebetria fusca
Phaethon aethereus
Calidris maritima
Puffinus mauretanicus
Thinornis cucullatus
Anseranas semipalmata
Lophura nycthemera
Lophura diardi
Loxioides bailleui
Phylloscopus trochiloides
Pernis apivorus
Aquila heliaca
Lymnocryptes minimus
Ciconia nigra
Phoebetria palpebrata
Macronectes halli
Anous minutus
Onychoprion lunatus
Sula sula
Phaethon rubricauda
Megadyptes antipodes
Aquila fasciata
Calidris pusilla
Anser erythropus
Anas gracilis
Calidris acuminata
Pluvialis dominica
Somateria spectabilis
Calidris melanotos
Calidris himantopus
Calidris subruficollis
Calcarius lapponicus
Carduelis flavirostris
Grus japonensis
Acrocephalus arundinaceus
Spheniscus humboldti
Hirundo nigricans
Cygnus atratus
Ardea plumifera
Poliocephalus poliocephalus
Calidris tenuirostris
Cettia cetti
Charadrius mongolus
Luscinia megarhynchos
Hippolais polyglotta
Gymnogyps californianus
Haematopus longirostris
Recurvirostra novaehollandiae
Hydrobates furcatus
Elanus caeruleus
Marmaronetta angustirostris
Charadrius dubius
Larus ichthyaetus
