"","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Decimal.Latitude","Decimal.Longitude","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","mu","lCI","uCI","sigma^2","tau^2","x0","Start","End"
"11",130," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Suidae","Phacochoerus","africanus",NA,"Gmelin, 1788","Common warthog / Desert warthog","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",0.107482991043739,-0.0519833922094025,0.26694937429688,6.74117328780772e-09,0.115841481015374,0.241292522390653,1,6
"12",138," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Redunca","redunca",NA,"Pallas, 1767","Bohar reedbuck / Bohor reedbuck","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.200848414353707,-0.418665055102608,0.0169682263951929,0.0483315753651218,0.0409356496384842,1.01542399471528,1,6
"13",139," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Sylvicapra","grimmia",NA,"Linnaeus, 1758","Common duiker / Grey duiker","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.032857015995538,-0.210086823311881,0.144372791320805,6.33207814313069e-07,0.143084412786386,0.478252688166224,1,6
"14",146," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Syncerus","caffer",NA,"Sparrman, 1779","African buffalo / Cape buffalo","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Dry season","Estimate of entire population","No",0.166666647945527,-0.11383883556588,0.447172131456933,0.122891485111889,2.22360290010778e-08,-0.0740978790628051,1,7
"15",147," Runyoro, V. R., H. Hofer, et al. (1995). Long term trends in the herbivore populations of the Ngorongoro Crater, Tanzania. Serengeti II: Dynamics, Management and Conservation of an Ecosystem. A. R. E. Sinclair and P. Arcese, University of Chicago Press pp 146 - 168.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.","Mammalia","Artiodactyla","Bovidae","Syncerus","caffer",NA,"Sparrman, 1779","African buffalo / Cape buffalo","Ngorongoro Crater","Tanzania, United Republic Of","Africa",-3.18333,35.53333,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Afrotropical","Yes","No","No","Number of individuals - Wet season","Estimate of entire population","No",0.111494836544847,0.0740687038905848,0.14892096919911,4.910749449262e-10,0.0300809563453266,0.00603859737249354,1,10
"16",163," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni",NA,"Lydekker, 1910","Mountain nayala","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.199999999187105,-0.427451821490393,0.0274518231161843,0.0673343544375608,8.70796850610246e-10,1.13857142942127,1,6
"17",165," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","buxtoni",NA,"Lydekker, 1910","Mountain nayala","Sanetti Plateau, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.75,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.199982798592418,-0.620729290552126,0.220763693367289,0.230399665986274,2.25802198280371e-05,1.00992161381106,1,6
"18",169," Stephens, P. A., C. A. d'Sa, et al. (2001). Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park southern Ethiopia. Biological Conservation 100: 307-322.","Mammalia","Artiodactyla","Bovidae","Tragelaphus","scriptus",NA,"Pallas, 1766","Bushbuck","Gaysay, Bale Mountains National Park, Ethiopia","Ethiopia","Africa",7.16667,39.71667,TRUE,"Terrestrial","Montane grasslands and shrublands","Afrotropical","Yes","No","No","Mean encounter rate /km-1","Road count","No",-0.18547756066277,-0.516637258057235,0.145682136731696,0.13628097899328,0.0171493138386871,1.00593000314009,1,6
"19",190," Drechsler, M. (1998). Spatial conservation management of the orange-bellied parrot Neophema chrysogaster. Biological Conservation 84(3): 283-292.","Aves","Psittaciformes","Psittacidae","Neophema","chrysogaster",NA,"(Latham, 1790)","Orange-bellied parrot","South Australia","Australia","Oceania",-37,144,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Australasia","Yes","No","No","Individuals","Unknown","No",0.0111888120324702,-0.0502487920350937,0.0726264161000341,1.60088800812118e-09,0.108080913229449,0.251258735564431,1,11
"20",197," Tasmanian Parks and Wildlife Service (1996). Management program for the Brushtail possum Trichosurus vulpecula (Kerr) in Tasmania - Review of background information. D. o. t. E. a. Heritage. Canberra, ACT, Australia, Department of the Environment and Heritage.","Mammalia","Diprotodontia","Phalangeridae","Trichosurus","vulpecula",NA,"Kerr, 1792","Common brush-tailed possum","Tasmania, Australia","Australia","Oceania",-42,147,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Australasia","Yes","No","No","Average count per route","Spotlight survey - fixed transect","No",0.0119659206516656,-0.0870340305895521,0.110965871892883,0.0297042248395217,0.0763008856495196,0.596518877658348,1,15
